cod_ibge;distrito;ano;nascidos_vivos;masculino;feminino;ignorado
80001;   Água Rasa;2023;133;76;57;0
80002;   Alto de Pinheiros;2023;42;23;19;0
80003;   Anhanguera;2023;146;74;72;0
80004;   Aricanduva;2023;147;77;70;0
80005;   Arthur Alvim;2023;146;81;65;0
80006;   Barra Funda;2023;50;28;22;0
80007;   Bela Vista;2023;84;43;41;0
80008;   Belém;2023;148;72;76;0
80009;   Bom Retiro;2023;73;36;37;0
80010;   Brás;2023;94;49;45;0
80011;   Brasilândia;2023;555;277;278;0
80012;   Butantã;2023;69;30;39;0
80013;   Cachoeirinha;2023;316;158;158;0
80014;   Cambuci;2023;74;37;37;0
80015;   Campo Belo;2023;107;60;47;0
80016;   Campo Grande;2023;121;65;56;0
80017;   Campo Limpo;2023;459;227;232;0
80018;   Cangaíba;2023;280;134;146;0
80019;   Capão Redondo;2023;523;268;255;0
80020;   Carrão;2023;104;61;43;0
80021;   Casa Verde;2023;127;77;50;0
80022;   Cidade Ademar;2023;530;269;261;0
80023;   Cidade Dutra;2023;338;170;168;0
80024;   Cidade Líder;2023;241;117;124;0
80025;   Cidade Tiradentes;2023;80;37;43;0
80026;   Consololação;2023;55;35;20;0
80027;   Cursino;2023;156;81;75;0
80028;   Ermelino Matarazzo;2023;248;114;134;0
80029;   Freguesia do Ó;2023;199;108;91;0
80030;   Grajaú;2023;846;429;417;0
80031;   Guaianazes;2023;62;33;29;0
80032;   Moema;2023;117;46;71;0
80033;   Iguatemi;2023;319;152;167;0
80034;   Ipiranga;2023;205;109;96;0
80035;   Itaim Bibi;2023;174;95;79;0
80036;   Itaim Paulista;2023;423;209;214;0
80037;   Itaquera;2023;412;232;180;0
80038;   Jabaquara;2023;413;212;201;0
80039;   Jaçanã;2023;173;88;85;0
80040;   Jaguara;2023;39;14;25;0
80041;   Jaguaré;2023;125;66;59;0
80042;   Jaraguá;2023;426;216;210;0
80043;   Jardim Ângela;2023;733;375;358;0
80044;   Jardim Helena;2023;298;153;145;0
80045;   Jardim Paulista;2023;98;59;39;0
80046;   Jardim São Luis;2023;480;245;235;0
80047;   Jose Bonifácio;2023;203;104;99;0
80048;   Lapa;2023;112;59;53;0
80049;   Liberdade;2023;88;43;45;0
80050;   Limão;2023;155;67;88;0
80051;   Mandaqui;2023;123;58;65;0
80052;   Marsilac;2023;17;8;9;0
80053;   Mooca;2023;110;44;66;0
80054;   Morumbi;2023;79;46;33;0
80055;   Parelheiros;2023;374;177;197;0
80056;   Parí;2023;61;40;21;0
80057;   Parque do Carmo;2023;139;66;73;0
80058;   Pedreira;2023;317;142;175;0
80059;   Penha;2023;236;114;122;0
80060;   Perdizes;2023;120;59;61;0
80061;   Perus;2023;204;103;101;0
80062;   Pinheiros;2023;102;51;51;0
80063;   Pirituba;2023;294;141;153;0
80064;   Ponte Rasa;2023;133;71;62;0
80065;   Raposo Taváres;2023;222;119;103;0
80066;   República;2023;72;36;36;0
80067;   Rio Pequeno;2023;223;105;118;0
80068;   Sacomã;2023;470;232;238;0
80069;   Santa Cecília;2023;114;65;49;0
80070;   Santana;2023;126;66;60;0
80071;   Santo Amaro;2023;122;65;57;0
80072;   São Lucas;2023;223;115;108;0
80073;   São Mateus;2023;286;156;130;0
80074;   São Miguel;2023;158;75;83;0
80075;   São Rafael;2023;292;153;139;0
80076;   Sapopemba;2023;470;243;227;0
80077;   Saúde;2023;177;94;83;0
80078;   Sé;2023;49;25;24;0
80079;   Socorro;2023;48;27;21;0
80080;   Tatuapé;2023;131;75;56;0
80081;   Tremembé;2023;410;217;193;0
80082;   Tucuruvi;2023;126;64;62;0
80083;   Vila Andrade;2023;327;152;175;0
80084;   Vila Curuça;2023;303;163;140;0
80085;   Vila Formosa;2023;135;74;61;0
80086;   Vila Guilherme;2023;103;59;44;0
80087;   Vila Jacuí;2023;288;162;126;0
80088;   Vila Leopoldina;2023;67;38;29;0
80089;   Vila Maria;2023;267;154;113;0
80090;   Vila Mariana;2023;157;77;80;0
80091;   Vila Matilde;2023;161;75;86;0
80092;   Vila Medeiros;2023;245;145;100;0
80093;   Vila Prudente;2023;145;73;72;0
80094;   Vila Sonia;2023;178;94;84;0
80095;   São Domingos;2023;174;79;95;0
80096;   Lajeado;2023;135;72;63;0
80097;   Capital s/ Especificação;2023;15;11;4;0
